Timestep;Frame;Episode;Reward;Loss;Aux-Loss;TD_mean_abs;TD_std;TD_max;TD_min;Time
32;128;0;-0.4000;2.2985;1.1838;0.8157;1.4873;0.4036;-6.0522;1.50
33;132;0;-0.4000;2.2429;0.9634;0.8678;1.4823;0.4380;-5.9520;1.56
34;136;0;-0.4000;2.2043;0.8693;0.8958;1.4754;0.4950;-5.8771;1.63
35;140;0;2.7847;2.1631;0.7801;0.9116;1.4648;0.5662;-5.8026;1.71
36;144;0;-0.4000;2.3327;0.6964;0.9995;1.5158;0.6374;-5.7261;1.78
37;148;0;-0.4000;2.1018;0.6257;0.9590;1.4490;0.7107;-5.6496;1.85
38;152;0;2.7847;2.2739;0.5432;1.0269;1.5026;0.7733;-5.5802;1.93
39;156;0;-0.4000;1.4642;0.4557;0.9296;1.2100;0.8322;-2.6792;2.00
40;160;0;-0.4000;2.3521;0.3749;1.0715;1.5205;0.8746;-5.4415;2.08
41;164;0;2.7847;2.2793;0.3081;1.0613;1.4992;0.9378;-5.3645;2.16
42;168;0;-0.4000;1.0519;0.2646;0.8211;0.9963;1.0296;-2.5120;2.23
43;172;0;2.7847;2.0950;0.2649;1.0313;1.4470;0.9987;-5.2641;2.30
44;176;0;-0.4000;2.0124;0.2381;0.9360;1.4107;0.9218;-5.2030;2.38
45;180;0;-0.4000;1.9734;0.1983;1.0011;1.4046;1.0711;-5.0642;2.46
46;184;0;2.7847;1.9969;0.1809;0.9738;1.4021;1.1353;-4.9555;2.53
47;188;0;-0.4000;2.0504;0.1877;1.0014;1.4250;1.3515;-4.8405;2.60
48;192;0;-0.4000;2.0489;0.1773;1.0454;1.4241;1.4951;-4.7223;2.68
49;196;0;-0.4000;1.3370;0.2176;0.8882;1.1484;1.6546;-2.7746;2.75
50;200;0;-0.4000;2.0108;0.4989;1.0315;1.4179;1.5832;-4.5245;2.83
51;204;0;-0.4000;2.5222;0.4703;1.0688;1.5011;0.9639;-4.6388;2.91
52;208;0;-0.4000;1.8305;0.3240;0.9069;1.3503;1.4704;-4.3426;2.98
53;212;0;-0.4000;1.7600;0.3710;0.9252;1.3265;1.5455;-4.2159;3.06
54;216;0;-0.4000;2.0975;0.4196;1.0544;1.4172;1.4215;-4.1303;3.14
55;220;0;-0.4000;1.4094;0.4714;0.8427;1.1675;1.4616;-3.9913;3.22
56;224;0;-0.4000;1.7443;0.5541;0.8868;1.3200;1.2138;-3.9005;3.29
57;228;0;-0.4000;1.4057;0.5770;0.7427;1.1648;0.8650;-3.0068;3.37
58;232;0;-0.4000;1.5639;0.5667;0.7631;1.2195;0.7635;-3.0131;3.45
59;236;0;-0.4000;0.8381;0.5513;0.5091;0.9154;0.7460;-2.8998;3.53
60;240;0;-0.4000;1.8596;0.5545;0.7988;1.2895;0.6746;-3.5480;3.61
