Timestep;Frame;Episode;Reward;Loss;Aux-Loss;TD_mean_abs;TD_std;TD_max;TD_min;Time
32;128;0;-0.4000;2.7165;1.2139;0.8843;1.6177;0.4024;-6.6812;1.42
33;132;0;3.0965;3.0078;1.0603;0.9508;1.6760;0.4050;-6.6589;1.48
34;136;0;-0.4000;2.6593;0.8586;0.8752;1.6013;0.4570;-6.6239;1.55
35;140;0;-0.4000;2.9616;0.6970;0.9817;1.6754;0.4979;-6.6067;1.62
36;144;0;-0.4000;2.9331;0.6209;0.9862;1.6701;0.5223;-6.5698;1.69
37;148;0;-0.4000;2.9154;0.5571;0.9997;1.6693;0.5331;-6.5217;1.77
38;152;0;-0.4000;2.3060;0.5659;0.8216;1.5113;0.5444;-6.4720;1.84
39;156;0;-0.4000;2.3097;0.6085;0.8239;1.5125;0.5457;-6.4337;1.92
40;160;0;-0.4000;2.5803;0.5993;0.8845;1.5816;0.5530;-6.3956;1.99
41;164;0;-0.4000;2.8270;0.5732;0.9747;1.6406;0.5656;-6.3231;2.08
42;168;0;-0.4000;2.2324;0.5391;0.8116;1.4870;0.5846;-6.2386;2.15
43;172;0;-0.4000;2.4401;0.5160;0.9095;1.5475;0.5967;-6.1476;2.23
44;176;0;-0.4000;2.2055;0.5060;0.8328;1.4800;0.6044;-6.0569;2.30
45;180;0;3.0965;2.9239;0.4784;1.0277;1.6445;0.5905;-5.9658;2.36
46;184;0;-0.4000;2.0219;0.4431;0.8058;1.4184;0.6175;-5.8613;2.45
47;188;0;-0.4000;2.2014;0.4262;0.8443;1.4660;0.6432;-5.7561;2.52
48;192;0;-0.4000;2.5353;0.4162;0.9585;1.5594;0.6836;-5.6492;2.59
49;196;0;-0.4000;2.0173;0.4347;0.8019;1.4154;0.7164;-5.5371;2.67
50;200;0;-0.4000;1.6824;0.4912;0.7229;1.2971;0.7089;-5.4253;2.74
51;204;0;-0.4000;1.2177;0.5162;0.6443;1.0992;0.6460;-3.3094;2.82
52;208;0;-0.4000;1.9032;0.4977;0.7605;1.3713;0.6587;-5.2595;2.89
53;212;0;-0.4000;1.2015;0.4788;0.5621;1.0941;0.6708;-5.0946;2.96
54;216;0;-0.4000;1.2921;0.4922;0.6899;1.1347;0.6627;-3.2665;3.04
55;220;0;-0.4000;1.2634;0.5247;0.6388;1.1173;0.6310;-3.2490;3.11
56;224;0;-0.4000;0.9578;0.5455;0.5672;0.9786;0.6159;-3.2008;3.19
57;228;0;3.0965;1.5705;0.5613;0.6841;1.2442;0.6118;-4.6823;3.27
58;232;0;-0.4000;0.6409;0.5369;0.4743;0.7918;0.6437;-2.8538;3.35
59;236;0;-0.4000;2.2516;0.4900;0.8930;1.4584;0.6562;-4.4151;3.44
60;240;0;-0.4000;1.2633;0.4192;0.6249;1.1159;0.6971;-3.2726;3.51
61;244;0;-0.4000;1.3582;0.3891;0.6829;1.1616;0.7283;-3.2393;3.60
62;248;0;-0.4000;1.4762;0.3705;0.7349;1.2011;0.7323;-3.2023;3.67
63;252;0;-0.4000;1.2641;0.3608;0.6873;1.1231;0.7520;-3.1708;3.75
64;256;0;3.0965;1.5001;0.3548;0.6831;1.2184;0.7583;-4.2849;3.83
65;260;0;-0.4000;2.2047;0.3186;0.9660;1.4417;0.7816;-3.9925;3.91
66;264;0;-0.4000;1.1702;0.2731;0.7029;1.0817;0.8269;-3.1084;3.99
67;268;0;-0.4000;1.1719;0.2491;0.6207;1.0781;0.8690;-3.1410;4.07
68;272;0;-0.4000;1.4368;0.2256;0.7634;1.1936;0.9111;-3.0927;4.15
69;276;0;-0.4000;1.1366;0.2305;0.6549;1.0652;0.9507;-3.1331;4.23
70;280;0;-0.4000;0.6795;0.2147;0.5116;0.8046;0.9868;-2.7666;4.31
